#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	Première année::Mathématiques::Approximations polynomiales	Développement de Taylor	Soit \(f\) admettant en \(x_0\) une dérivée d'ordre \(n\). Alors un développement de Taylor de \(f\) en \(x_0\) à l'ordre \(n\) est un polynôme \(P\) de degré au plus \(n\) vérifiant: \(P(x_0) = f(x_0), \cdots , P^{(n)}(x_0) = f^{(n)}(x_0)\).
Basique	Première année::Mathématiques::Approximations polynomiales	Existence, unicité et expression du développement de Taylor de f	Soit \(f\) admettant en \(x_0\) une dérivée d'ordre \(n\). Alors le développement de Taylor de \(f\) en \(x_0\) à l'ordre \(n\) existe, est unique et est donné explicitement par: \(\forall x \in \mathbb R, P(x) = \sum_{k = 0}^n \frac {(x-x_0)^k}{k!}f^{(k)}(x_0)\)
Basique	Première année::Mathématiques::Approximations polynomiales	Reste de Taylor à l'ordre n	Si \(f\) admet en \(x_0\) une dérivée d'ordre \(n\), on note \(R_n\) la différence entre f et son développement de Taylor: \(\forall x \in I, R_n(x) = f(x) - \sum_{k = 0}^n \frac {(x-x_0)^k}{k!}f^{(k)}(x_0)\).
Basique	Première année::Mathématiques::Approximations polynomiales	Formule de Taylor-Young à l'ordre \(n\) au point \(x_0\)	Soit \(I\) un ouvert de \(\mathbb R\), \(x_0 \in I\) et \(f : I \rightarrow \mathbb R\) une fonction de classe \(\mathcal C^n\) au voisinage de \(x_0\). Alors au voisinage de \(x_0\): \(f(x) = \sum_{k = 0}^n \frac {(x-x_0)^k}{k!}f^{(k)}(x_0) + o((x - x_0)^n)\)
Basique	Première année::Mathématiques::Approximations polynomiales	Développement limité (DL) au voisinage de \(x_0\)	Soit \(f\) définie sur un voisinage de \(x_0\). On dit que le polynôme \(P \in \mathbb R_n[X]\) est un développement limité de \(f\) à l'ordre \(n\) si au voisinage de \(x_0\): \(f(x) = P(x) + o((x - x_0)^n)\)
Basique	Première année::Mathématiques::Approximations polynomiales	Théorème d'existence du DL de fonctions de classe \(\mathcal C^n\)	Si f est de classe \(\mathcal C^n\) au voisinage de \(x_0\), alors \(f\) admet un développement limité à l'ordre \(n\) au voisinage de \(x_0\), égal au développement de Taylor-Young de \(f\) à l'ordre \(n\).
Basique	Première année::Mathématiques::Approximations polynomiales	Unicité du DL	Si \(f\) admet un développement limité à l'ordre \(n\) au voisinage de \(x_0\), alors ce développement est unique.
Basique	Première année::Mathématiques::Approximations polynomiales	DL de fonctions paires/impaires	Soit \(f\) admettant un DL à l'odre \(n\) au voisinage de \(0\). Alors: Si f est paire, son DL n'est constitué que de monômes pairs. Si f est impaire, son DL n'est constitué que de monômes impairs.
Basique	Première année::Mathématiques::Approximations polynomiales	DL au sens fort	Soit \(f\) définie sur un voisinage de \(x_0\). On dit que le polynôme \(P \in \mathbb R_n[X]\) est un développement limité au sens fort à l'ordre \(n\) de \(f\) si au voisinage de \(x_0\): \(f(x) = P(x) + O((x - x_0)^{n+1})\)
Basic	Première année::Mathématiques::Approximations polynomiales	Troncature	Soit \(P = a_0 + a_1(x - x_0) + \cdots + a_n (x - x_0)^n\) un polynôme de \(\mathbb R_n[X]\) et \(x_0 \in \mathbb R\) et \(m \le n\). La troncature de \(P\) à l'ordre \(m\) au voisinage de \(x_0\) est le polynôme \(T_{m,x_0}(P)\) défini par: \(T_{m,x_0}(P) = a_0 + a_1(x - x_0) + \cdots + a_m (x - x_0)^m\)
