#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	L3::FDI::Automates finis et langages rationnels	Définition AFD / NFA	AFD : Automate fini déterministe, n'a pas de blocage. NFA : Automate fini non déterministe, avec blocage et \(\varepsilon\)-transition.
Basique	L3::FDI::Automates finis et langages rationnels	Stabilité des langages rationnels	les langages rationnels sont stables par union, concaténation, complémentaire, intersection.
Basique	L3::FDI::Automates finis et langages rationnels	Équivalence NFA / DFA	Les deux reconnaissent les langages rationnels.
Basique	L3::FDI::Automates finis et langages rationnels	GNFA	Automate non déterministe généralisé (transitions étiquetées par expression régulières)
Basique Maths	L3::FDI::Automates finis et langages rationnels	Lemme de pompage	Soit \( L \in Rat(\Sigma) \) . Alors il existe un entier \( n \in \mathbb N^* \) , appelé longueur de pompage, tel que pour tout mot \( u \in L \) tel que \( |u| \ge n \) admet une décomposition de la forme \( xyz \) telle que: - \( y \ne \varepsilon \)  - \( |xy| \le n \)  - \( \forall k \in \mathbb N, xy^kz \in L\)
Basique Maths	L3::FDI::Automates finis et langages rationnels	Mots indistinguables	Pour \( L \in \Sigma^* \) , \( x,y \in \Sigma^* \) sont indistinguables ssi \( \forall z \in \Sigma^*, xz \in L \Leftrightarrow yz \in L \) . On note \( \equiv_L\)la relation d'équivalence obtenue.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Indice d'un langage	L'indice de \( L \) est le nombre de classes d'équivalences de \( \Sigma^* \) pour \( \equiv_L\).
Basique Maths	L3::FDI::Automates finis et langages rationnels	Théorème de Myhill-Nerode	Un langage \( L \) est rationnel ssi l'indice de \( L \) est fini et dans ce cas, l'indice de \( L \) est égal au nombre d'états du plus petit DFA reconnaissant \( L\).
Basique Maths	L3::FDI::Automates finis et langages rationnels	Nom du théorème de minimisation	Myhill-Nerode.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Résiduel	Pour tout mot \( x \in \Sigma^* \) et langage \( L \) , le résiduel de \( x \) est \( x^{-1}L = \{z \in\Sigma^*, xz \in L\}\)
Basique Maths	L3::FDI::Automates finis et langages rationnels	Automate minimal à partir des classes d'équivalence	On peut construire un automate minimal pour un langage rationnel où chaque état correspond à une classe de \( \equiv_L\). Dans ce cas les classes correspondent aux mots dont le calcul finit dans un même état.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Calcul des classes d'équivalence d'états	Pour calculer \(\equiv\) définie par \(q \equiv q' \Leftrightarrow \forall u \in \Sigma^*, (\delta(q,u) \in F \Leftrightarrow \delta(q',u) \in F) \), on calcule les \(\equiv_i\) se restreignant au mots de longueur au plus \(i\) par récurrence: - \(q \equiv_0 q'\) si \(q,q'\) sont tous deux dans ou en dehors de \(F\) - \(q \equiv_{i + 1} q'\) si et seulement si \( \forall a \in \Sigma, \delta(q, a) \equiv_i\delta(q',a)\) et \(q\equiv_iq'\). On calcule les \(\equiv_i\) jusqu'à stabilisation, on a alors \(\equiv\).
Basique Maths	L3::FDI::Automates finis et langages rationnels	Décidabilité des théories logiques	\(Th(\N, + ,=)\) est décidable (Théorie des entiers avec addition et égalité. L'arithmétique du premier ordre n'est pas décidable.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Langage des entiers satisfaisant une formule	Le langage des codes des entiers satisfaisant une formule de \(Th(\N, +, =)\) est un langage rationnel.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Caractérisation de la vérité d'un énoncé par le langage reconnu	Un énoncé est vrai si l'automate correspondant accepte le mot vide.
