#separator:tab
#html:false
#notetype column:1
#deck column:2
Basic	Première année::Mathématiques::Matrices	Matrice élémentaire ou matrice de la base canonique de \(\mathcal M_{n, p}(\mathbb K)\)	Soit \((i,j) \in \unicode{10214}1, n\unicode{10215} \times \unicode{10214}1, p\unicode{10215}\). On définit la matrice élémentaire \(E_{i,j} \in \mathcal M_{n, p}(\mathbb K)\) par: \(\forall (k,l) \in \unicode{10214}1, n\unicode{10215} \times \unicode{10214}1, p\unicode{10215}, [E_{i, j}]_{k,l} = \delta_{(i,j),(k,l)}\)
Basic	Première année::Mathématiques::Matrices	Produit matriciel par colonnes	La colonne du produit est la combinaison des colonnes de la première matrices avec les coefficients de la colonne correspondante dans la seconde matrice.
Basic	Première année::Mathématiques::Matrices	Produit matriciel par lignes	La ligne du produit est la combinaison linéaire des lignes de la seconde matrice par les coefficients de la ligne correspondante dans la première matrice.
Basic	Première année::Mathématiques::Matrices	Produit des éléments de la base canonique	Soit \((E_{i,j})\) la base canonique de \(\mathcal M_{n,p}(\mathbb K)\), et \((E'_{j,k})\) la base canonique de \(\mathcal M_{p, q}(\mathbb K)\). Soit \((i,j) \in \unicode{10214}1, n\unicode{10215} \times \unicode{10214}1, p\unicode{10215}\) et \((k,l) \in \unicode{10214}1, p\unicode{10215} \times \unicode{10214}1, q\unicode{10215}\). Alors: \(E_{i,j} \times E'_{k, l} = \delta_{j,k}E''_{i, l}\)
Basic	Première année::Mathématiques::Matrices	Linéarité de la transposition	La transposition est une application linéaire: \(\forall A, B \in \mathcal M_{n, p}(\mathbb K), \forall \lambda, \mu \in \mathbb K, (\lambda A + \mu B)^T = \lambda A^T + \mu B^T\)
Basic	Première année::Mathématiques::Matrices	Polynôme annulateur	Un polynôme annulateur de \(A \in \mathcal M_n(\mathbb K)\) est un polynôme \(P = \sum_{k=0}^q q_kX^k \) à coefficients dans \(\mathbb K\) tel que: \(P(A) = \sum_{k=0}^q q_kA^k = 0\) Le polynôme minimal est le polynôme annulateur unitaire (donc non nul) de plus petit degré
Basic	Première année::Mathématiques::Matrices	Existence et unicité du polynôme minimal	Soit \(A \in \mathcal M_n(\mathbb K)\). Alors: - \(A\) admet un poynôme annulateur non nul - \(A\) admet un unique polynôme minimal
Basic	Première année::Mathématiques::Matrices	Produit de deux matrices diagonales ou triangulaires	- Le produit de deux matrices triangulaires supérieurs (resp. inférieures) est une matrice triangulaire supérieure (resp. inférieure). - Le produit de deux matrices diagonales est une matrice diagonale.
Basic	Première année::Mathématiques::Matrices	Termes diagonaux du produit de deux matrices triangulaires	- Les coefficients diagonaux du produit correspondent aux produits des coefficients diagonaux - Si l'une des matrices triangulaires l'est strictement, le produit l'est aussi
Basic	Première année::Mathématiques::Matrices	Matrices symétriques, antisymétriques	Soit \(A \in \mathcal M_n(\mathbb K)\). - \(A\) est symétrique si \(A = A^T\). - \(A\) est antisymétrique si \(A = -A^T\). On note \(\mathcal S_n(\mathbb K)\) (resp. \(\mathcal A_n(\mathbb K)\)) l'ensemble des matrices symétriques (resp. antisymétriques) de \(\mathcal M_n(\mathbb K)\)
