#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Anneau intègre	Un anneau est intègre ssi: - Il est non nul ( \( 0_1 \ne 0_A) \)  - Il est commutatif (La loi \( \times \) est commutative) - Il vérifie la propriété d'intégrité ( \( \forall a,b \in A, ab = 0_A \Rightarrow a = 0_A \vee b = 0_A\))
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Régularité des éléments d'un anneau intègre	Tous les éléments non nuls d'un anneau intègre sont réguliers
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Caractérisation des sous-anneaux	 \( B \) est un sous-anneau de \( A \) ssi \( B \) est contenu dans \( A \) , contient \( 1_A\) et est stable par différence et produit.
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Morphisme d'anneau	Un morphisme d'anneau est une application entre deux anneaux, respectant les deux lois et le neutre multiplicatif.
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Structure du noyau d'un morphisme d'anneaux	Le noyau d'un morphisme d'anneaux est un idéal.
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Image réciproque d'un idéal par un morphisme d'anneaux	L'image réciproque d'un idéal par un morphisme d'anneaux est un idéal.
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Caractérisation des sous-corps	 \( B \) est un sous-corps de \( A \) ssi \( B \) est contenu dans \( A \) , contient \( 1_A\) et est stable par différence, multiplication et inversion.
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Caractérisation des corps parmi les anneaux commutatifs par les idéaux	Un anneau commutatif est un corps si il n'a pas d'idéal non trivial (autre que lui-même et l'idéal nul).
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Injectivité des morphismes de corps	Tout morphisme de corps est injectif
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Extension de corps	\( \mathbb L \) est extension de corps de \( \mathbb K \) ssi il existe un morphisme de corps \( \varphi : \mathbb K \rightarrow \mathbb L \) .  \( \mathbb K \) peut être abusivement considéré comme sous-corps de \( \mathbb L\).
Basique Maths	Seconde année::Mathématiques::Structures algébriques usuelles	Caractérisation des \(\mathbb Z/n\mathbb Z\) intègres	Pour \( n \in \mathbb N \) il y équivalence entre: - \( n \) est premier - \( \mathbb Z / n\mathbb Z \) est un corps - \( \mathbb Z / n\mathbb Z\) est intègre
